X,country,snu1,ageasentered,2018,2019,2020,2021,2022,2023
999999,Eswatini,Mpolonjeni,20 to 24,0,0,224,278,869,225
999999,Eswatini,Mpolonjeni,25 to 29,0,0,125,284,837,185
999999,Eswatini,Mtsambama,10 to 14,0,0,130,24,290,283
999999,Eswatini,Mtsambama,15 to 19,0,0,284,80,353,518
999999,Eswatini,Mtsambama,20 to 24,0,0,24,242,686,156
999999,Eswatini,Mtsambama,25 to 29,0,0,36,274,688,138
999999,Eswatini,Ngudzeni,10 to 14,0,0,0,0,280,358
999999,Eswatini,Ngudzeni,15 to 19,0,0,0,0,587,335
999999,Eswatini,Ngudzeni,20 to 24,0,0,0,0,327,332
999999,Eswatini,Ngudzeni,25 to 29,0,0,0,0,239,204
999999,Eswatini,Ngwempisi,10 to 14,0,0,455,17,219,382
999999,Eswatini,Ngwempisi,15 to 19,0,0,304,56,277,421
999999,Eswatini,Ngwempisi,20 to 24,0,0,94,239,957,307
999999,Eswatini,Ngwempisi,25 to 29,0,0,82,214,874,271
999999,Eswatini,Nkhaba,10 to 14,0,0,0,0,325,529
999999,Eswatini,Nkhaba,15 to 19,0,0,0,48,214,418
999999,Eswatini,Nkhaba,20 to 24,0,0,0,162,531,192
999999,Eswatini,Nkhaba,25 to 29,0,0,0,197,690,167
999999,Eswatini,Nkomiyahlaba Inkhundla,10 to 14,0,0,23,53,247,156
999999,Eswatini,Nkomiyahlaba Inkhundla,15 to 19,0,0,35,48,292,256
999999,Eswatini,Nkomiyahlaba Inkhundla,20 to 24,0,0,33,130,501,214
999999,Eswatini,Nkomiyahlaba Inkhundla,25 to 29,0,0,8,138,416,193
999999,Eswatini,Ntfonjeni,10 to 14,0,0,74,647,636,604
999999,Eswatini,Ntfonjeni,15 to 19,0,0,220,702,893,857
999999,Eswatini,Ntfonjeni,20 to 24,0,0,45,744,917,419
999999,Eswatini,Ntfonjeni,25 to 29,0,0,88,624,713,233
999999,Eswatini,Phondo Inkhundla,10 to 14,0,0,89,48,290,195
999999,Eswatini,Phondo Inkhundla,15 to 19,0,0,92,43,269,454
999999,Eswatini,Phondo Inkhundla,20 to 24,0,0,19,205,919,178
999999,Eswatini,Phondo Inkhundla,25 to 29,0,0,39,200,789,130
999999,Eswatini,Piggs Peak,10 to 14,0,0,140,738,584,497
999999,Eswatini,Piggs Peak,15 to 19,0,0,154,452,776,662
999999,Eswatini,Piggs Peak,20 to 24,0,0,56,266,730,372
999999,Eswatini,Piggs Peak,25 to 29,0,0,97,342,780,340
999999,Eswatini,Sandleni,10 to 14,0,0,0,56,335,451
999999,Eswatini,Sandleni,15 to 19,0,0,0,118,528,540
999999,Eswatini,Sandleni,20 to 24,0,0,0,47,290,350
999999,Eswatini,Sandleni,25 to 29,0,0,0,25,149,173
999999,Eswatini,Shiselweni 2,10 to 14,0,0,334,137,523,625
999999,Eswatini,Shiselweni 2,15 to 19,0,0,301,258,663,538
999999,Eswatini,Shiselweni 2,20 to 24,0,0,99,240,444,412
999999,Eswatini,Shiselweni 2,25 to 29,0,0,87,209,528,473
999999,Eswatini,Siphocosini Inhkuhndla,10 to 14,0,0,11,389,340,300
999999,Eswatini,Siphocosini Inhkuhndla,15 to 19,0,0,59,296,598,565
999999,Eswatini,Siphocosini Inhkuhndla,20 to 24,0,0,33,358,582,255
999999,Eswatini,Siphocosini Inhkuhndla,25 to 29,0,0,67,344,521,170
999999,Eswatini,Siphofaneni,10 to 14,0,0,298,77,458,359
999999,Eswatini,Siphofaneni,15 to 19,0,0,317,38,499,542
999999,Eswatini,Siphofaneni,20 to 24,0,0,70,86,783,257
999999,Eswatini,Siphofaneni,25 to 29,0,0,44,71,530,182
999999,Eswatini,Sithobela,10 to 14,0,0,458,201,732,507
999999,Eswatini,Sithobela,15 to 19,0,0,248,79,685,784
999999,Eswatini,Sithobela,20 to 24,0,0,161,227,1215,491
999999,Eswatini,Sithobela,25 to 29,0,0,109,245,945,330
999999,Rwanda,Gasabo,10 to 14,0,0,2855,11001,20558,15115
999999,Rwanda,Gasabo,15 to 19,0,0,4409,13702,28391,28443
999999,Rwanda,Gasabo,20 to 24,0,0,1870,2538,7842,11926
999999,Rwanda,Gasabo,25 to 29,0,0,0,0,786,0
999999,Rwanda,Kicukiro,10 to 14,0,0,1557,420,10306,2048
999999,Rwanda,Kicukiro,15 to 19,0,0,1921,1236,12398,3257
999999,Rwanda,Kicukiro,20 to 24,0,0,1301,142,2422,5530
999999,Rwanda,Kicukiro,25 to 29,0,0,0,62,57,284
999999,Rwanda,Nyanza,10 to 14,0,0,2364,2697,1609,2404
999999,Rwanda,Nyanza,15 to 19,0,0,3233,5731,5688,9354
999999,Rwanda,Nyanza,20 to 24,0,0,1320,1876,3027,3434
999999,Rwanda,Nyanza,25 to 29,0,0,234,59,180,280
999999,Rwanda,Nyarugenge,10 to 14,0,0,1850,478,6786,3446
999999,Rwanda,Nyarugenge,15 to 19,0,0,2318,1373,8630,2410
999999,Rwanda,Nyarugenge,20 to 24,0,0,1756,153,1286,6196
999999,Rwanda,Nyarugenge,25 to 29,0,0,0,50,224,664
999999,Rwanda,Rwamagana,10 to 14,0,0,1033,3946,2714,4518
999999,Rwanda,Rwamagana,15 to 19,0,0,3163,6981,7738,14434
999999,Rwanda,Rwamagana,20 to 24,0,0,855,1657,2271,3700
999999,Rwanda,Rwamagana,25 to 29,0,0,132,53,126,142
